codigo;nome;pop_2019;pop_2020
330010;ANGRA DOS REIS;203785;207044
330015;APERIBE;11759;11901
330020;ARARUAMA;132400;134293
330022;AREAL;12572;12669
330023;ARMACAO DOS BUZIOS;33870;34477
330025;ARRAIAL DO CABO;30349;30593
330030;BARRA DO PIRAI;100374;100764
330040;BARRA MANSA;184412;184833
330045;BELFORD ROXO;510906;513118
330050;BOM JARDIM;27446;27616
330060;BOM JESUS DO ITABAPOANA;37096;37203
330070;CABO FRIO;226525;230378
330080;CACHOEIRAS DE MACACU;58937;59303
330090;CAMBUCI;15505;15514
330093;CARAPEBUS;16301;16586
330095;COMENDADOR LEVY GASPARIAN;8561;8576
330100;CAMPOS DOS GOYTACAZES;507548;511168
330110;CANTAGALO;20172;20168
330115;CARDOSO MOREIRA;12823;12821
330120;CARMO;18895;19030
330130;CASIMIRO DE ABREU;44184;45041
330140;CONCEICAO DE MACABU;23228;23398
330150;CORDEIRO;21926;22041
330160;DUAS BARRAS;11492;11528
330170;DUQUE DE CAXIAS;919596;924624
330180;ENGENHEIRO PAULO DE FRONTIN;14002;14071
330185;GUAPIMIRIM;60517;61388
330187;IGUABA GRANDE;28310;28837
330190;ITABORAI;240592;242543
330200;ITAGUAI;133019;134819
330205;ITALVA;15207;15299
330210;ITAOCARA;23234;23222
330220;ITAPERUNA;103224;103800
330225;ITATIAIA;31805;32064
330227;JAPERI;104768;105548
330230;LAJE DO MURIAE;7355;7326
330240;MACAE;256672;261501
330245;MACUCO;5599;5623
330250;MAGE;245071;246433
330260;MANGARATIBA;44468;45220
330270;MARICA;161207;164504
330280;MENDES;18614;18648
330285;MESQUITA;176103;176569
330290;MIGUEL PEREIRA;25538;25581
330300;MIRACEMA;27174;27154
330310;NATIVIDADE;15317;15311
330320;NILOPOLIS;162485;162693
330330;NITEROI;513584;515317
330340;NOVA FRIBURGO;190631;191158
330350;NOVA IGUACU;821128;823302
330360;PARACAMBI;52257;52683
330370;PARAIBA DO SUL;44285;44518
330380;PARATY;43165;43680
330385;PATY DO ALFERES;27769;27858
330390;PETROPOLIS;306191;306678
330395;PINHEIRAL;25156;25364
330400;PIRAI;29277;29545
330410;PORCIUNCULA;18847;18960
330411;PORTO REAL;19683;19974
330412;QUATIS;14302;14435
330414;QUEIMADOS;150319;151335
330415;QUISSAMA;24700;25126
330420;RESENDE;131341;132312
330430;RIO BONITO;60201;60573
330440;RIO CLARO;18529;18605
330450;RIO DAS FLORES;9284;9344
330452;RIO DAS OSTRAS;150674;155193
330455;RIO DE JANEIRO;6718903;6747815
330460;SANTA MARIA MADALENA;10404;10392
330470;SANTO ANTONIO DE PADUA;42479;42594
330475;SAO FRANCISCO DE ITABAPOANA;42205;42210
330480;SAO FIDELIS;38669;38710
330490;SAO GONCALO;1084839;1091737
330500;SAO JOAO DA BARRA;36102;36423
330510;SAO JOAO DE MERITI;472406;472906
330513;SAO JOSE DE UBA;7171;7206
330515;SAO JOSE DO VALE DO RIO PRETO;21795;21916
330520;SAO PEDRO DA ALDEIA;104476;106049
330530;SAO SEBASTIAO DO ALTO;9357;9387
330540;SAPUCAIA;18228;18249
330550;SAQUAREMA;89170;90583
330555;SEROPEDICA;82312;83092
330560;SILVA JARDIM;21774;21774
330570;SUMIDOURO;15623;15667
330575;TANGUA;34309;34610
330580;TERESOPOLIS;182594;184240
330590;TRAJANO DE MORAES;10626;10640
330600;TRES RIOS;81804;82142
330610;VALENCA;76523;76869
330615;VARRE-SAI;11000;11106
330620;VASSOURAS;36896;37083
330630;VOLTA REDONDA;273012;273988
